S. No,Identified Phishing/Suspected Domain Name,Critical Sector Entity Name,Phishing/Suspected Domains (i.e. Class Label)
1,bankofbaroada.com ,Bank of Baroda,Phishing
2,pruicici.co.in ,ICICI Bank,Suspected
3,fitsbi.in ,State Bank of India ,Suspected
4,helpdesksbi.in ,State Bank of India ,Suspected
5,hrdsbi.co.in ,State Bank of India ,Suspected
6,hrsbi.co.in ,State Bank of India ,Suspected
7,hr-sbi.co.in ,State Bank of India ,Suspected
8,sbicardplan.in ,State Bank of India ,Suspected
9,sbihr.co.in ,State Bank of India ,Suspected
10,sbi-hr.co.in ,State Bank of India ,Suspected
11,crsorgdc.in ,"Civil Registration System, Ministry of Home Affairs ",Suspected
12,crsorgigoovi.in ,"Civil Registration System, Ministry of Home Affairs ",Suspected
