S. No,Identified Phishing/Suspected Domain Name,Critical Sector Entity Name,Phishing/Suspected Domains (i.e. Class Label)
1,iocl-5s.xyz,IOCL,Suspected
2,airtellor.xyz,Airtel,Suspected
3,dcr.crsorgi.gov.in.vill.live,Civil Registration System MHA,Phishing
4,hdfcergopolicyrenewal.in,HDFC Bank,Suspected
5,hdfcergorenewalinsurance.in,HDFC Bank,Suspected
6,hdfcergorenewalpolicyhealthinsurances.in,HDFC Bank,Suspected
7,hdfcergorenewalsinsurancepolicys.in,HDFC Bank,Suspected
8,hdfcergorenewalspolicyinsurances.in,HDFC Bank,Suspected
9,icicidirect-support.in,ICICI Bank,Suspected
10,sbi-yono.co.in,SBI Bank,Suspected
11,sbicarddept.co.in,SBI Bank,Suspected
12,sbimysore.co.in,SBI Bank,Suspected
13,dc.crsorgi.gov.in.index.vipbirth.shop,Civil Registration System MHA,Suspected
14,crsi.shop.ucl-aadhar.info,Civil Registration System MHA,Suspected
15,dc.crsorgi.gov.in.ogri.shop,Civil Registration System MHA,Suspected
16,dc.crsorgi.gov.in.ogrii.live,Civil Registration System MHA,Suspected
17,dc.crsorgi.gov.in.qafila.fun,Civil Registration System MHA,Suspected
18,dc.crsorgi.gov.in.view.web.index.origi.pro,Civil Registration System MHA,Suspected
